Trial,c1,c2,predicted_delta,predicted_c1_alpha,score
0,0.0004000000000000001,0.0007100000000000001,0.8222222041000814,0.2544340924775712,0.6950051578612958
1,0.0004000000000000001,0.0006700000000000001,0.8168770482262531,0.2504485852311944,0.6916527556106559
2,0.00039000000000000005,0.0006700000000000001,0.8168770482262531,0.2504485852311944,0.6916527556106559
3,0.0004000000000000001,0.0005600000000000001,0.8168770482262531,0.2504485852311944,0.6916527556106559
4,0.00032,0.00072,0.7905274643502218,0.235659937888199,0.6726974954061223
5,0.00027000000000000006,0.0007500000000000001,0.7905274643502218,0.235659937888199,0.6726974954061223
6,0.0003400000000000001,0.0007100000000000001,0.7905274643502218,0.235659937888199,0.6726974954061223
7,0.00031000000000000005,0.0007000000000000001,0.7905274643502218,0.235659937888199,0.6726974954061223
8,0.00031000000000000005,0.00063,0.7875771837801934,0.23167443064182217,0.6717399684592823
9,0.00025000000000000006,0.0006200000000000001,0.7875771837801934,0.23167443064182217,0.6717399684592823
10,0.00031000000000000005,0.00064,0.7875771837801934,0.23167443064182217,0.6717399684592823
11,0.00025000000000000006,0.00059,0.7875771837801934,0.23167443064182217,0.6717399684592823
12,0.00031000000000000005,0.0006000000000000001,0.7875771837801934,0.23167443064182217,0.6717399684592823
13,0.0003400000000000001,0.00059,0.7875771837801934,0.23167443064182217,0.6717399684592823
14,0.0001,0.0007100000000000001,0.7282892876364025,0.22479037267080756,0.6158941013009988
15,5e-05,0.0007100000000000001,0.7282892876364025,0.22479037267080756,0.6158941013009988
16,0.00023,0.00076,0.7278367584349835,0.2247903726708075,0.6154415720995797
17,0.00015000000000000001,0.0005600000000000001,0.725339007066374,0.22044254658385096,0.6151177337744486
18,0.00012,0.0006500000000000001,0.725339007066374,0.22044254658385096,0.6151177337744486
19,3.0000000000000004e-05,0.0005600000000000001,0.725339007066374,0.22044254658385096,0.6151177337744486
20,0.00027000000000000006,0.0003800000000000001,0.36599687975125667,0.2197179089026914,0.256137925299911
21,0.0004000000000000001,0.0002,0.3219124748727665,0.21025966183574862,0.21678264395489216
22,0.00039000000000000005,0.00011,0.3219124748727665,0.21025966183574862,0.21678264395489216
23,5e-05,0.0003600000000000001,0.3064194925419222,0.20848602484472029,0.20217648011956205
24,0.00026000000000000003,0.00011,0.2926126104267064,0.1914855072463765,0.19686985680351815
25,0.0003400000000000001,0.00021,0.2926126104267064,0.1914855072463765,0.19686985680351815
26,0.00029000000000000006,0.0002,0.2926126104267064,0.1914855072463765,0.19686985680351815
27,0.00025000000000000006,0.00021,0.2926126104267064,0.1914855072463765,0.19686985680351815
28,0.00025000000000000006,0.0002,0.2926126104267064,0.1914855072463765,0.19686985680351815
29,0.00029000000000000006,0.00021,0.2926126104267064,0.1914855072463765,0.19686985680351815
30,0.00031000000000000005,0.00017,0.2926126104267064,0.1914855072463765,0.19686985680351815
31,0.00030000000000000003,0.0002,0.2926126104267064,0.1914855072463765,0.19686985680351815
32,6e-05,0.00019,0.23303522321737183,0.1802536231884054,0.14290841162316914
