id,c1,c2,mean_delta,c1_alpha
1,0.0012,0.0006,0.545964278906904,0.7999999999999999
2,0.0015,0.0005,0.7634266885707177,1.0
3,0.001,0.001,0.6071486177702948,0.6666666666666666
4,0.0005,0.0015,0.8178601767260933,0.3333333333333333
5,0.0006,0.0012,0.6389088215057684,0.39999999999999997
6,0.0002,0.0002,-0.02896137201194447,0.13333333333333333
7,0.0005,0.0005,0.7143951340236747,0.3333333333333333
8,0.0003,0.0006,0.9029220761796412,0.19999999999999998
9,0.0006,0.0003,0.2977734836497527,0.39999999999999997
10,0.00075,0.00075,0.8928970624700431,0.5
